,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
77,David,1,1," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
78,Jonathan,1,1, Baker got through to the next round,False,False,True,False,False,False,False
79,Annetha,1,1, Baker was one of the judges' favourite bakers that week,False,False,False,False,False,False,False
80,Louise,1,1," Baker was one of the judges' least favourite bakers that week, but was not eliminated",False,False,False,False,True,False,False
81,Lea,1,1, Baker was eliminated,True,False,False,False,False,False,False
82,Mark,1,1, Baker was eliminated,True,False,False,False,False,False,False
83,Nadiya,6,1,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
84,Ian,6,1,Baker got through to the next round.,False,False,True,False,False,False,False
85,Tamal,6,1,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
86,Flora,6,1,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
87,Paul,6,1,Baker got through to the next round.,False,False,True,False,False,False,False
88,Mat,6,1,Baker got through to the next round.,False,False,True,False,False,False,False
89,Alvin,6,1,Baker got through to the next round.,False,False,True,False,False,False,False
90,Ugnė,6,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
91,Sandy,6,1,Baker got through to the next round.,False,False,True,False,False,False,False
92,Dorret,6,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
93,Marie,6,1,Baker was the Star Baker.,False,True,False,False,False,False,False
94,Stu,6,1,Baker was eliminated.,True,False,False,False,False,False,False
95,John,3,10, Baker was the series winner,False,False,False,False,False,False,True
96,Brendan,3,10, Baker was the series runner-up,False,False,False,False,False,True,False
97,James,3,10, Baker was the series runner-up,False,False,False,False,False,True,False
98,Danny,3,10,out,False,False,False,False,False,False,False
99,Cathryn,3,10,out,False,False,False,False,False,False,False
100,Ryan,3,10,out,False,False,False,False,False,False,False
101,Sarah-Jane,3,10,out,False,False,False,False,False,False,False
102,Manisha,3,10,out,False,False,False,False,False,False,False
103,Stuart,3,10,out,False,False,False,False,False,False,False
104,Victoria,3,10,out,False,False,False,False,False,False,False
105,Peter,3,10,out,False,False,False,False,False,False,False
106,Natasha,3,10,out,False,False,False,False,False,False,False
107,Frances,4,10,Baker was the series winner,False,False,False,False,False,False,True
108,Kimberley,4,10,Baker was the series runner-up,False,False,False,False,False,True,False
109,Ruby,4,10,Baker was the series runner-up,False,False,False,False,False,True,False
110,Beca,4,10,out,False,False,False,False,False,False,False
111,Christine,4,10,out,False,False,False,False,False,False,False
112,Glenn,4,10,out,False,False,False,False,False,False,False
113,Howard,4,10,out,False,False,False,False,False,False,False
114,Robert,4,10,out,False,False,False,False,False,False,False
115,Ali,4,10,out,False,False,False,False,False,False,False
116,Deborah,4,10,out,False,False,False,False,False,False,False
117,Mark,4,10,out,False,False,False,False,False,False,False
118,Lucy,4,10,out,False,False,False,False,False,False,False
119,Toby,4,10,out,False,False,False,False,False,False,False
120,Nancy,5,10,Baker was the series winner.,False,False,False,False,False,False,True
121,Luis,5,10,Baker was the series runner-up.,False,False,False,False,False,True,False
122,Richard,5,10,Baker was the series runner-up.,False,False,False,False,False,True,False
123,Chetna,5,10,out,False,False,False,False,False,False,False
124,Martha,5,10,out,False,False,False,False,False,False,False
125,Kate,5,10,out,False,False,False,False,False,False,False
126,Norman,5,10,out,False,False,False,False,False,False,False
127,Diana,5,10,out,False,False,False,False,False,False,False
128,Iain,5,10,out,False,False,False,False,False,False,False
129,Jordan,5,10,out,False,False,False,False,False,False,False
130,Enwezor,5,10,out,False,False,False,False,False,False,False
131,Claire,5,10,out,False,False,False,False,False,False,False
132,Jo,2,10,,False,False,False,False,False,False,False
133,Holly,2,10,,False,False,False,False,False,False,False
134,Mary-Anne,2,10,,False,False,False,False,False,False,False
135,Janet,2,10,,False,False,False,False,False,False,False
136,Yasmin,2,10,,False,False,False,False,False,False,False
137,Jason,2,10,,False,False,False,False,False,False,False
138,Robert,2,10,,False,False,False,False,False,False,False
139,Ben,2,10,,False,False,False,False,False,False,False
140,Ian,2,10,,False,False,False,False,False,False,False
141,Urvashi,2,10,,False,False,False,False,False,False,False
142,Simon,2,10,,False,False,False,False,False,False,False
143,Keith,2,10,,False,False,False,False,False,False,False
144,Candice,7,10,Baker was the series winner.,False,False,False,False,False,False,True
145,Andrew,7,10,Baker was a series runner-up.,False,False,False,False,False,True,False
146,Jane,7,10,Baker was a series runner-up.,False,False,False,False,False,True,False
147,Selasi,7,10,out,False,False,False,False,False,False,False
148,Benjamina,7,10,out,False,False,False,False,False,False,False
149,Tom,7,10,out,False,False,False,False,False,False,False
150,Rav,7,10,out,False,False,False,False,False,False,False
151,Val,7,10,out,False,False,False,False,False,False,False
152,Kate,7,10,out,False,False,False,False,False,False,False
153,Michael,7,10,out,False,False,False,False,False,False,False
154,Louise,7,10,out,False,False,False,False,False,False,False
155,Lee,7,10,out,False,False,False,False,False,False,False
156,Sophie,8,10,Baker was the series winner.,False,False,False,False,False,False,True
157,Kate,8,10,Baker was a series runner-up.,False,False,False,False,False,True,False
158,Steven,8,10,Baker was a series runner-up.,False,False,False,False,False,True,False
159,Stacey,8,10,out,False,False,False,False,False,False,False
160,Liam,8,10,out,False,False,False,False,False,False,False
161,Yan,8,10,out,False,False,False,False,False,False,False
162,Julia,8,10,out,False,False,False,False,False,False,False
163,James,8,10,out,False,False,False,False,False,False,False
164,Tom,8,10,out,False,False,False,False,False,False,False
165,Flo,8,10,out,False,False,False,False,False,False,False
166,Chris,8,10,out,False,False,False,False,False,False,False
167,Peter,8,10,out,False,False,False,False,False,False,False
168,Edd,1,10,,False,False,False,False,False,False,False
169,Ruth,1,10,,False,False,False,False,False,False,False
170,Miranda,1,10,,False,False,False,False,False,False,False
