,Unnamed: 0,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
29,7,Tom,West Yorkshire Fusion Puddings,5,Fennel Churros Snake In The Grass,3,bread,7
30,8,Val,Mum's Chilli Yorkshire Puddings,6,Orange Chocolate Churros,3,bread,7
31,0,Andrew,Mum and Dad's Breakfast Pastries,6,Spicy Chorizo Squash Parcels and Baklava Bites,4,batter,7
32,1,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5,Plantain and Spinach Samosas and Chai Pear Cups,4,batter,7
33,2,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",4,batter,7
34,3,Jane,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",4,batter,7
35,4,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,4,batter,7
36,5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",4,batter,7
37,6,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4,Yin and Yang Amuse-bouche,4,batter,7
38,7,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",4,batter,7
39,0,Andrew,Tangy Lime and Ginger Meringue Pie,6,Spring Elderflower Trio,5,pastry,7
40,1,Benjamina,Grapefruit and Ginger Meringue Pie,2,Floral Tea Cake,5,pastry,7
41,2,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5,Four Seasons Cake,5,pastry,7
42,3,Jane,Lime and Coconut Meringue Pie,4,Three Tier Orange Cake with a Floral Chocolate Collar,5,pastry,7
43,4,Rav,Mandarin Margarita Meringue Pie,3,Blossom Cake,5,pastry,7
44,5,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7,Three Tiered Ombré Floral Cake,5,pastry,7
45,6,Tom,Blood Orange Halloween Pumpkin Pie,1,Floral Tea Cake,5,pastry,7
46,0,Andrew,Tropical Holiday Roulade,1,Childhood Ice Cream Mousse Cakes,6,botanical,7
47,1,Benjamina,Piña Colada Roulade,3,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,6,botanical,7
48,2,Candice,Crowd Pleaser Roulade,2,Blackberry and Raspberry Bubbles and After Dinner Mousse,6,botanical,7
49,3,Jane,Chocolate and Hazelnut Roulade,4,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",6,botanical,7
50,4,Selasi,Summer Picnic Roulade,6,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,botanical,7
51,5,Tom,Millionaire's Roulade,5,Hipster Picnic,6,botanical,7
52,0,Andrew,Da Vinci Inspired Geared Pies,2,Jousting Knights Marchpane,7,desserts,7
53,1,Benjamina,Mexican Adventure,4,Tudor Garden,7,desserts,7
54,2,Candice,Cheesy Cheeky Fish Pies,1,Peacock,7,desserts,7
55,3,Jane,Tudor Rose Pies,5,Swans,7,desserts,7
56,4,Selasi,Bouquet of Flowers,3,Fruity Tudor Marchpane,7,desserts,7
57,0,Andrew,Cheesy Elephant Ears and Herby Treble Clefs,2,Philharmonic Fondants,8,tudor,7
58,1,Candice,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3,Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,8,tudor,7
59,2,Jane,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1,Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,8,tudor,7
60,3,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4,Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,8,tudor,7
61,0,Andrew,Crunchy Caramel Cassis Crown,1,Family and Friends' Favourites Picnic,9,patisserie,7
62,1,Candice,Queen Victoria's Mango and Strawberry Crown,2,Picnic for Pearly Kings and Queens,9,patisserie,7
63,2,Jane,"Red, White and Blue Meringue Crown",3,Family Favourites Feast,9,patisserie,7
64,0,Ali,Rose & Fennel Henna-Inspired Biscuits and Date & Orange Ma'amoul Bauble Biscuits,1,Celebration of Jesus Cake,10,royal picnic,7
65,1,Cathryn,"Chocolate Peppermint Candy Canes and Clementine, Cranberry & Rosemary Holly Leaf Biscuits",2,Our Christmas Eve,10,royal picnic,7
66,2,Mary-Anne,Christmas Pudding and Christmas Wreath Biscuits,3,My Christmas Cakey Bakey,10,royal picnic,7
