,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Alvin,Orange Vanilla and Fig Madeira Cake,2nd,Black Forest Gâteau,1,_Cakes,6
1,Dorret,Madeira Cake with Candied Lemons,5th,Enchanted Forest Gâteau,1,_Cakes,6
2,Flora,Blood Orange Madeira Cake,6th,Black Forest Gâteau,1,_Cakes,6
3,Ian,Somewhere West of Madeira Cake,8th,Black Forest Cherry Tree,1,_Cakes,6
4,Marie,Zingy Citrus Madeira Cake,3rd,A Walk in the Black Forest,1,_Cakes,6
5,Mat,Gin and Tonic Madeira Cake,7th,Black Forest Gateau,1,_Cakes,6
6,Nadiya,Orange and Green Cardamom Madeira Cake,12th,Quadruple Chocolate Black Forest Gâteau,1,_Cakes,6
7,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10th,Black Forest Chocolate Creation,1,_Cakes,6
8,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9th,Black Forest Gâteau,1,_Cakes,6
9,Stu,Marley Madeira Cake,11th,Purple Forest Gâteau,1,_Cakes,6
10,Tamal,Pistachio and Rose Madeira Cake,4th,Black Forest Gâteau in a Chocolate Shell,1,_Cakes,6
11,Ugnė,Lemon and Thyme Madeira Cake,1st,Falling Cup Gâteau,1,_Cakes,6
0,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6th,Gingerbread Box filled with Brandy Snaps,2,_Biscuits,6
1,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,1st,Box of Frogs,2,_Biscuits,6
2,Flora,Wedding Biscotti,2nd,Honey and Earl Grey Tea Box,2,_Biscuits,6
3,Ian,"Orange, Rosemary and Almond Biscotti",3rd,Sandwich de la Confiture,2,_Biscuits,6
4,Marie,Biscotti Italiano,11th,Russian Box,2,_Biscuits,6
5,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",5th,Gingerbread Fire Engine,2,_Biscuits,6
6,Nadiya,"Coconut, Fennel and Pistachio Biscotti",9th,Box of Fortunes,2,_Biscuits,6
7,Paul,"Chocolate, Hazelnut and Fig Biscotti",10th,Memory Box,2,_Biscuits,6
8,Sandy,Chocolate Chunk and Hazelnut Biscotti,4th,Sundried Tomato Cheese Biscuit Box,2,_Biscuits,6
9,Tamal,"Cinnamon, Maple and Cranberry Biscotti",8th,Chessboard Box,2,_Biscuits,6
10,Ugnė,White Wine Biscotti,7th,Baby Climbing into the Cookie Box,2,_Biscuits,6
0,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4th,Cornucopia,3,_Bread,6
1,Dorret,Walnut and Stilton Soda Breads,6th,Unmade Bread,3,_Bread,6
2,Flora,Fig and Hazelnut Rye Breads,2nd,Herb Couture,3,_Bread,6
3,Ian,Wild Garlic Pesto Soda Breads,1st,Flour Power,3,_Bread,6
4,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8th,Curry Inspired Brighton Pavilion,3,_Bread,6
5,Nadiya,Mexican Bread with Warm Tomato Salsa,9th,Snake Charmer's Basket,3,_Bread,6
6,Paul,Cranberry and Orange Sweet Soda Breads,10th,King of the Jungle,3,_Bread,6
7,Sandy,Soda Breads with Smoked Bacon and Onion,7th,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,3,_Bread,6
8,Tamal,"Fig, Cheese and Walnut Breads",3rd,Breadcycle,3,_Bread,6
9,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,5th,Easter Basket,3,_Bread,6
0,Alvin,Blackberry Crème Brûlées,9th,Tower of Fruits Cheesecakes,4,_Desserts,6
1,Flora,Rhubarb and Ginger Crème Brûlées,3rd,Elderflower and Granola Cheesecakes,4,_Desserts,6
2,Ian,Pomegranate Two Ways Crème Brûlées,4th,Trio of Spicy and Herby Baked Cheesecakes,4,_Desserts,6
3,Mat,Coconut Crème Brûlées,7th,Chocolate Bar Cheesecakes,4,_Desserts,6
4,Nadiya,Cinnamon Tea Crème Brûlées,8th,Fizzy Pop Cheesecakes,4,_Desserts,6
5,Paul,Almond Crème Brûlées,1st,Berry Cheesecake Tower,4,_Desserts,6
6,Sandy,Pontefract Crème Brûlées,6th,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",4,_Desserts,6
7,Tamal,Rhubarb and Ginger Crème Brûlées,5th,"Mango, Hazelnut and Rosemary Cheesecake Trio",4,_Desserts,6
8,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,2nd,"Lime, Coconut and Hazelnut Cheesecakes",4,_Desserts,6
0,Alvin,Pineapple Upside Down Cake,8th,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",5,_Alternative_Ingredients,6
1,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",3rd,Chocolate and Pear Bûche,5,_Alternative_Ingredients,6
2,Ian,Honey and Flowers Cake,5th,Dessert Island,5,_Alternative_Ingredients,6
3,Mat,Sugar Free Carrot Cake,4th,Raspberry and Coconut Ice Cream Roll,5,_Alternative_Ingredients,6
4,Nadiya,Naked Blueberry and Caraway Crunch Cake,1st,Chocolate and Strawberry Lime Ice Cream Roll,5,_Alternative_Ingredients,6
5,Paul,Carrot & Pecan Cake,2nd,Dessert Island Getaway,5,_Alternative_Ingredients,6
6,Tamal,Honey and Grapefruit Polenta Cake,7th,Passion Fruit and Pineapple Ice Cream Roll,5,_Alternative_Ingredients,6
7,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,6th,"Chocolate, Peanut Butter and Grape Jam Roll",5,_Alternative_Ingredients,6
0,Alvin,Plum Frangipane Tart,6th,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,6,_Pastry,6
1,Flora,Apricot and Rosemary Frangipane Tart,2nd,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,6,_Pastry,6
2,Ian,Pear and Raspberry Frangipane Tart,3rd,vol-au-vents Terre et Mer,6,_Pastry,6
3,Mat,Piña Colada Frangipane Tart,1st,His 'n' Hers Vol-au-vents,6,_Pastry,6
4,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",4th,Bengali Korma and Clementine with Cod Vol-au-vents,6,_Pastry,6
5,Paul,Christmas Frangipane Tart,5th,Savoury and Sweet Bouchées,6,_Pastry,6
6,Tamal,Spiced Pear Frangipane Tart,7th,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,6,_Pastry,6
0,Flora,Game Pie with Shallot and Apple Chutney,4th,"Raspberry, Pomegranate and Champagne Charlotte Russe",7,_Victorian,6
1,Ian,Roadkill Pie,5th,Victoria's Crown Charlotte Russe,7,_Victorian,6
2,Mat,Raised Venison and Pigeon Pie,6th,Strawberry Charlotte Russe,7,_Victorian,6
3,Nadiya,Aromatic Raised Game Pie,1st,Mango and Raspberry Charlotte Russe,7,_Victorian,6
4,Paul,Not a Boaring Pie,2nd,Charlotte Rose,7,_Victorian,6
