,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
5,Tamal,Middle Eastern Game Pie,3rd,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",7,_Victorian,6
0,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3rd,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
1,Ian,Mont Blanc & Black Forest Gâteau Horns,2nd,Nun with Hidden Passions,8,_P.C3.A2tisserie,6
2,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,1st,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
3,Paul,Café Tipple & Banana Crunch-away Horns,5th,Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
4,Tamal,Lime & Mascarpone and Malt Cream Horns,4th,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,8,_P.C3.A2tisserie,6
0,Flora,Passion Fruit and Chocolate Tart,1st,Cocoa Carousel,9,_Chocolate_.28Semi-Final.29,6
1,Ian,Chocolate and Bay Tart,3rd,Chocolate Well,9,_Chocolate_.28Semi-Final.29,6
2,Nadiya,Peanut Salted Caramel and Chocolate Tart,4th,Peacock in Nan's Door,9,_Chocolate_.28Semi-Final.29,6
3,Tamal,Chocolate New York Pie,2nd,Chocolate Bell Tower,9,_Chocolate_.28Semi-Final.29,6
0,Ian,Elderflower and Lemon & Spiced Buns,2nd,Colossal Curvy Carrot Cake,10,_Final,6
1,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1st,My Big Fat British Wedding Cake,10,_Final,6
2,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3rd,Sticky Toffee Pudding Cake,10,_Final,6
