,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Brendan,Middle Eastern Taboon BreadIndian Rotis,4th,Chocolate and Vanilla Bagels Cumin and Gruyere Bagels,1,_Cakes,3
1,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8th,"Cranberry and Orange Bagels Chipotle, Chili, and Smoked Cheddar Bagels",1,_Cakes,3
2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3rd,UNKNOWN,1,_Cakes,3
3,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2nd,"Orange, Mint and Chocolate Bagels 'Millers' Sourdough Bagels",1,_Cakes,3
4,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1st,"Fig, Walnut and Gruyere Bagels Blueberry and White Chocolate Bagels",1,_Cakes,3
5,Manisha,Indian FlatbreadsItalian Flatbreads,6th,UNKNOWN,1,_Cakes,3
6,Peter,Fennel and Nigella Seed NaanBannock Bread,11th,Rosemary and Sea Salt Bagels Apple and Cinnamon Bagels,1,_Cakes,3
7,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5th,Cinnamon and Date Bagels Tarragon and Rosemary Bagels,1,_Cakes,3
8,Sarah-Jane,Toasted Coconut and Lime RotisOatcakes,10th,UNKNOWN,1,_Cakes,3
9,Stuart,Bombay BreadChorizo and Spring Onion Naan,9th,Cinnamon and Cranberry Bagels Tomato and Thyme Bagels,1,_Cakes,3
10,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7th,Saffron and Golden Raisin Bagels Porcini Bagels,1,_Cakes,3
0,Brendan,Apple and Ginger Tarte Tatin,9th,"Blackberry, Nectarine and Dragon Fruit Tart",2,_Bread,3
1,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3rd,"Raspberry, Pistachio and Lemon Tart",2,_Bread,3
2,Danny,Savoury Pear and Roquefort Tarte Tatin,2nd,"Pineapple, Coconut and Frangipane Tart",2,_Bread,3
3,James,Apple and Lavender Tarte Tatin,1st,"Rose, Lychee and Raspberry Fruit Tart",2,_Bread,3
4,John,Apple and Vanilla Tarte Tatin with Walnut Praline,6th,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",2,_Bread,3
