,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2nd,Vanilla Sponge with White Chocolate and Raspberry Buttercream,1,_Cakes,2
1,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1st,UNKNOWN,1,_Cakes,2
2,Ian,Apple and Cinnamon Cupcakes,10th,UNKNOWN,1,_Cakes,2
3,Janet,Raspberry and Cream Cupcakes,8th,Chocolate Marble Cakewith Dark and White Chocolate Truffles,1,_Cakes,2
4,Jason,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6th,UNKNOWN,1,_Cakes,2
5,Jo,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,11th,Chocolate and Strawberry Cake,1,_Cakes,2
6,Keith,Earl Grey Cupcakes,12th,Chocolate and Sour Cream Cake,1,_Cakes,2
7,Mary-Anne,Banoffee Cupcakes,4th,Chocolate and Raspberry Opera cake,1,_Cakes,2
8,Robert,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3rd,Genoise Layered Mousse Cakewith Chocolate Ganache,1,_Cakes,2
9,Simon,Guinness and Chocolate Cupcakes,9th,Two-Tiered Chocolate Courgette Cake,1,_Cakes,2
10,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,7th,UNKNOWN,1,_Cakes,2
11,Yasmin,Cardamom and Pomegranate Cupcakes,5th,UNKNOWN,1,_Cakes,2
0,Ben,"Chorizo, Pepper and Gruyere Quiche",1st,Lemon Meringue Tarts,2,_Tarts,2
1,Holly,Pesto Quiche,4th,Milk Chocolate and Pistachio TartsTrifle Tarts,2,_Tarts,2
2,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2nd,UNKNOWN,2,_Tarts,2
3,Janet,Quiche Printanière,8th,Red Fruit TartsChocolate and Cherry Tarts,2,_Tarts,2
4,Jason,Salmon and Pak Choi Quiche,3rd,Mint Chocolate Tarts Blueberry Bakewell Tarts,2,_Tarts,2
5,Jo,"Caramelised Onion, Gruyere and Thyme Quiche",10th,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,2,_Tarts,2
6,Mary-Anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9th,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,2,_Tarts,2
7,Robert,Smoked Bacon and Kale Quiche,5th,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",2,_Tarts,2
8,Simon,Smoked Haddock and Watercress Quiche,11th,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",2,_Tarts,2
9,Urvashi,"Crab, Coriander and Coconut Quiche",7th,Strawberry and Basil TartsElderflower and Honeycomb Tarts,2,_Tarts,2
10,Yasmin,Smoked Haddock and Watercress Quiche,6th,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,2,_Tarts,2
0,Ben,"Walnut, Raisin and Rosemary Loaf",3rd,UNKNOWN,3,_Bread,2
1,Holly,Picnic Loaf,6th,Stilton and Walnut Rolls,3,_Bread,2
2,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",10th,Walnut and Raisin RollsCracked Wheat Logs,3,_Bread,2
3,Janet,Zupfe Loaf with Gruyère Cheese,8th,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,3,_Bread,2
4,Jason,Cheese and Onion Tear and Share Loaf,7th,UNKNOWN,3,_Bread,2
5,Jo,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",1st,UNKNOWN,3,_Bread,2
6,Mary-Anne,Ploughman's Loaf,5th,Herb and Walnut BreadsChocolate and Chilli Buns,3,_Bread,2
7,Robert,Rye and Coriander Seed Loaf,4th,Blueberry Brioche RollsLemon and Poppy Seed Rolls,3,_Bread,2
8,Urvashi,Salt and Peppercorn Loaf,9th,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,3,_Bread,2
9,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,2nd,Pesto Bread Sweet Coconut Rolls,3,_Bread,2
0,Ben,Stem Ginger Nuts,5th,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,4,_Biscuits,2
1,Holly,Strawberry and Custard Melts,3rd,"'Chocolate bars of my youth' (Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",4,_Biscuits,2
2,Janet,Christmas Marzipan Biscuits,4th,Raspberry Macarons Blackcurrant Macarons Almond Macarons,4,_Biscuits,2
3,Jason,Lebkuchen,1st,"Mocktail Macarons (Mojito, Cranberry Cooler, and Pina Colada)",4,_Biscuits,2
4,Jo,Lavender Biscuits,8th,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,4,_Biscuits,2
5,Mary-Anne,Melting Moments,2nd,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,4,_Biscuits,2
