,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
6,Robert,Chocolate and Ginger Oat Biscuits,7th,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,4,_Biscuits,2
7,Yasmin,Chocolate Chip and Pistachio Biscotti,6th,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,4,_Biscuits,2
0,Holly,"Stilton, Potato and Caramelised Onion Pie",4th,Lime Meringue Pie,5,_Pies,2
1,Janet,Chicken and Chestnut Pie,1st,Rhubarb Meringue Pie,5,_Pies,2
2,Jason,Brown Down Chicken Pie,7th,Plum Meringue Pie,5,_Pies,2
3,Jo,Salmon and Asparagus Pie,6th,Apple and Raspberry Meringue Pie,5,_Pies,2
4,Mary-Anne,Chicken and Bacon Pie,2nd,Midnight Meringue,5,_Pies,2
5,Robert,Chicken and Mushroom Pie,3rd,Rhubarb and Custard Meringue Pie,5,_Pies,2
6,Yasmin,Family Fish Pie,5th,Peach and Raspberry Meringue Pie,5,_Pies,2
0,Holly,Father Christmas' Baked Cheesecake,3rd,Hansel and Gretel's Croquembouche,6,_Desserts,2
1,Janet,Rhubarb and Ginger Baked Cheesecake,5th,Orange and Nougatine Croquembouche,6,_Desserts,2
2,Jo,Rum and Raisin Baked Cheesecake,1st,Limoncello and White Chocolate Croquembouche,6,_Desserts,2
3,Mary-Anne,Tutti Fruitti Curd Baked Cheesecake,4th,Orange and Praline Croquembouche with Cardamom Caramel,6,_Desserts,2
4,Yasmin,Baked Amaretto Cheesecake,2nd,Rose Croquembouche,6,_Desserts,2
0,Holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1st,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",7,_P.C3.A2tisserie_.28Semi-Final.29,2
1,Janet,Chocolate Amaretto Mousse Cake,4th,Pain Aux RaisinPlain CroissantPain Au Chocolat,7,_P.C3.A2tisserie_.28Semi-Final.29,2
2,Jo,Raspberry & Strawberry Mousse Cake,3rd,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,7,_P.C3.A2tisserie_.28Semi-Final.29,2
3,Mary-Anne,Chocolate and Orange Mousse Cake,2nd,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,7,_P.C3.A2tisserie_.28Semi-Final.29,2
0,Holly,Banoffee Inspired Mille Feuille,2nd,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,8,_Final,2
1,Jo,Raspberry and Blueberry Mille Feuille,1st,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",8,_Final,2
2,Mary-Anne,Lemon and Ginger Mille Feuille,3rd,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,8,_Final,2
